MUNNOMBRE,DEPNOMBRE,cod_mpio,ipm,pct_rural,tasa_homicidios,cobertura_acueducto,cobertura_alcantarillado,nbi_urbano,nbi_rural,desempeno_fiscal,poblacion_total,pct_cepeda_v1,pct_oposicion_v1,pct_cepeda_v2_pred,pct_oposicion_v2_pred,gana_cepeda_pred,margen_pred,ganador_pred,zona_riesgo,quintil_ipm
CARTAGENA,BOLIVAR,13001.0,19.9,12.12,35.83,93.67,86.83,11.49,20.52,75.34,974086.0,37.91313379657695,62.08686620342305,44.96826115950595,55.03173884049405,0,-10.06,Oposición,Moderado (5-15%),Muy bajo
ACHI,BOLIVAR,13006.0,62.4,78.66,3.92,69.71,0.8,34.33,62.35,60.48,33856.0,49.354899451181616,50.645100548818384,55.188570846737406,44.811429153262594,1,10.38,Cepeda,Moderado (5-15%),Muy alto
ARENAL,BOLIVAR,13042.0,62.0,42.55,37.62,76.01,34.47,26.49,50.6,63.23,9869.0,45.62531358456635,54.37468641543365,51.290641625171936,48.709358374828064,1,2.58,Cepeda,Reñido (<5%),Muy alto
ALTOS DEL ROSARIO,BOLIVAR,13030.0,70.7,67.54,16.83,45.56,3.49,48.66,65.15,41.0,9129.0,49.12795439208368,50.87204560791632,53.59149378542867,46.40850621457133,1,7.18,Cepeda,Moderado (5-15%),Muy alto
ARJONA,BOLIVAR,13052.0,47.4,22.99,17.19,75.45,8.0,27.23,24.75,66.2,76323.0,42.031409855273075,57.968590144726925,48.91370718202632,51.08629281797368,0,-2.17,Oposición,Reñido (<5%),Alto
ARROYO HONDO,BOLIVAR,13062.0,68.4,42.33,11.19,62.84,14.57,51.72,27.27,53.16,7555.0,46.30307654911429,53.69692345088571,51.895795643094885,48.104204356905115,0,3.79,Oposición,Reñido (<5%),Muy alto
BARRANCO DE LOBA,BOLIVAR,13074.0,68.9,64.16,19.27,45.92,4.1,32.07,56.37,56.39,19600.0,48.586014276891895,51.413985723108105,53.51582935999397,46.48417064000603,1,7.03,Cepeda,Moderado (5-15%),Muy alto
CALAMAR,BOLIVAR,13140.0,62.5,41.74,21.11,52.12,1.04,35.78,47.0,65.36,26980.0,45.59733980882247,54.40266019117753,51.59145965067964,48.40854034932036,1,3.18,Cepeda,Reñido (<5%),Muy alto
CANTAGALLO,BOLIVAR,13160.0,50.6,44.82,78.49,56.99,43.61,17.74,64.44,70.79,9037.0,44.60975239705506,55.39024760294494,50.2617201436217,49.7382798563783,1,0.52,Cepeda,Reñido (<5%),Alto
CICUCO,BOLIVAR,13188.0,61.3,34.21,13.64,92.42,1.65,33.47,32.99,66.79,20187.0,44.69744614691686,55.30255385308314,51.622480940236045,48.377519059763955,1,3.24,Cepeda,Reñido (<5%),Muy alto
CORDOBA,BOLIVAR,13212.0,61.9,79.99,5.92,78.89,1.65,51.04,21.46,61.97,21721.0,49.43595069962122,50.56404930037878,55.930208558387264,44.069791441612736,1,11.86,Cepeda,Moderado (5-15%),Muy alto
CLEMENCIA,BOLIVAR,13222.0,63.0,17.6,18.93,13.23,0.94,88.75,62.83,66.62,18365.0,43.18802480617239,56.81197519382761,49.75889685209512,50.24110314790488,1,-0.48,Cepeda,Reñido (<5%),Muy alto
EL CARMEN DE BOLIVAR,BOLIVAR,13244.0,58.4,26.2,44.33,72.57,3.54,33.26,65.01,69.33,79762.0,43.562562271198196,56.437437728801804,50.26606885686752,49.73393114313248,1,0.53,Cepeda,Reñido (<5%),Muy alto
EL GUAMO,BOLIVAR,13248.0,59.5,45.36,0.0,72.12,0.37,33.67,23.3,48.71,10655.0,45.63861310531903,54.36138689468097,51.32094562311896,48.67905437688104,0,2.64,Oposición,Reñido (<5%),Muy alto
HATILLO DE LOBA,BOLIVAR,13300.0,73.8,74.96,29.97,84.77,21.53,40.52,53.92,59.93,13452.0,50.22449758877967,49.77550241122033,55.77894778800492,44.22105221199508,1,11.56,Cepeda,Moderado (5-15%),Muy alto
EL PEÑON,BOLIVAR,13268.0,67.7,66.49,0.0,54.73,2.8,27.19,58.65,47.96,6529.0,48.692551154947495,51.307448845052505,53.347397878802376,46.652602121197624,1,6.69,Cepeda,Moderado (5-15%),Muy alto
MAGANGUE,BOLIVAR,13430.0,49.1,30.16,17.4,83.56,30.28,23.17,33.46,74.43,168073.0,42.94926216972918,57.05073783027082,49.83875099206689,50.16124900793311,1,-0.32,Cepeda,Reñido (<5%),Alto
MAHATES,BOLIVAR,13433.0,54.3,63.92,9.97,82.35,10.69,41.48,19.5,39.33,38534.0,46.96414280237049,53.03585719762951,52.46371425129138,47.53628574870862,0,4.93,Oposición,Reñido (<5%),Alto
MARGARITA,BOLIVAR,13440.0,65.6,84.96,17.56,70.28,0.53,29.4,37.44,57.18,12643.0,50.34806285649325,49.65193714350675,55.79428960197376,44.20571039802624,1,11.59,Cepeda,Moderado (5-15%),Muy alto
MARIA LA BAJA,BOLIVAR,13442.0,63.2,55.21,30.19,24.68,9.58,48.13,45.26,54.44,47483.0,47.04883692902784,52.95116307097216,51.987039959684644,48.012960040315356,1,3.97,Cepeda,Reñido (<5%),Muy alto
MONTECRISTO,BOLIVAR,13458.0,70.1,77.36,11.08,31.03,0.61,46.52,69.3,59.17,14392.0,50.06465653530664,49.93534346469336,55.06142868086573,44.93857131913427,1,10.12,Cepeda,Moderado (5-15%),Muy alto
MOMPOS,BOLIVAR,13468.0,49.1,48.93,18.91,86.05,31.47,20.38,38.27,68.73,51106.0,44.86515478991904,55.13484521008096,51.33482356550044,48.66517643449956,1,2.67,Cepeda,Reñido (<5%),Alto
MORALES,BOLIVAR,13473.0,57.6,70.93,16.71,47.34,35.02,41.0,66.29,60.49,27653.0,48.04071829136156,51.95928170863844,53.268862008190766,46.731137991809234,1,6.54,Cepeda,Moderado (5-15%),Muy alto
NOROSI,BOLIVAR,13490.0,66.2,78.86,58.78,3.33,1.11,37.38,75.72,53.15,15769.0,49.79106878717046,50.20893121282954,53.81371230361039,46.18628769638961,1,7.63,Cepeda,Moderado (5-15%),Muy alto
PINILLOS,BOLIVAR,13549.0,67.5,85.94,3.99,51.72,11.98,49.81,63.76,60.93,25294.0,50.6559709398189,49.3440290601811,56.09691864526487,43.90308135473513,1,12.19,Cepeda,Moderado (5-15%),Muy alto
REGIDOR,BOLIVAR,13580.0,48.9,40.0,13.64,88.99,6.45,23.4,31.02,55.24,9042.0,43.93176943035847,56.06823056964153,50.33571206946908,49.66428793053092,0,0.67,Oposición,Reñido (<5%),Alto
RIOVIEJO,BOLIVAR,13600.0,57.3,53.76,9.08,64.1,37.6,30.62,58.36,43.48,14119.0,46.25531821466233,53.74468178533767,50.87860050603058,49.12139949396942,0,1.76,Oposición,Reñido (<5%),Muy alto
SAN ESTANISLAO,BOLIVAR,13647.0,50.7,32.12,10.31,89.0,0.95,35.25,25.7,66.35,25690.0,43.32437811756209,56.67562188243791,50.601461485483576,49.398538514516424,0,1.2,Oposición,Reñido (<5%),Alto
SAN CRISTOBAL,BOLIVAR,13620.0,49.9,22.39,11.38,94.34,1.57,29.08,13.4,57.57,12753.0,42.24368959347722,57.75631040652278,49.16867000486887,50.83132999513113,0,-1.66,Oposición,Reñido (<5%),Alto
SAN FERNANDO,BOLIVAR,13650.0,64.3,84.27,7.49,67.18,12.94,22.15,43.89,51.36,11057.0,50.13540118562495,49.86459881437505,54.947827630993494,45.052172369006506,1,9.9,Cepeda,Moderado (5-15%),Muy alto
SAN JACINTO,BOLIVAR,13654.0,60.3,13.43,47.67,0.69,0.5,98.08,60.83,61.93,32052.0,42.46697948997347,57.53302051002653,48.86987037367687,51.13012962632313,1,-2.26,Cepeda,Reñido (<5%),Muy alto
SAN JACINTO DEL CAUCA,BOLIVAR,13655.0,66.7,75.64,9.26,38.4,0.81,51.7,69.82,60.55,11681.0,49.51710133989448,50.48289866010552,54.96954601385291,45.03045398614709,1,9.94,Cepeda,Moderado (5-15%),Muy alto
SAN JUAN NEPOMUCENO,BOLIVAR,13657.0,56.2,25.01,7.59,53.12,1.22,42.59,25.6,67.71,50137.0,43.20039629755691,56.79960370244309,49.837301619874154,50.162698380125846,1,-0.33,Cepeda,Reñido (<5%),Muy alto
SAN MARTIN DE LOBA,BOLIVAR,13667.0,60.6,54.17,39.28,59.09,35.96,31.53,58.27,44.62,14112.0,46.65821808866922,53.34178191133078,51.137331022469056,48.862668977530944,0,2.27,Oposición,Reñido (<5%),Muy alto
SAN PABLO,BOLIVAR,13670.0,54.0,18.85,91.6,75.14,50.89,32.87,59.56,55.81,28837.0,42.33093217141996,57.66906782858004,47.89782419645771,52.10217580354229,0,-4.2,Oposición,Reñido (<5%),Alto
SANTA CATALINA,BOLIVAR,13673.0,54.8,63.15,26.1,2.78,1.64,94.98,35.13,35.31,16731.0,46.940251909141665,53.059748090858335,51.920928635628314,48.079071364371686,0,3.84,Oposición,Reñido (<5%),Alto
SANTA ROSA,BOLIVAR,13683.0,54.3,10.49,47.86,32.99,1.06,72.67,47.1,67.83,23416.0,41.51043248288493,58.48956751711507,48.52291368774842,51.47708631225158,1,-2.95,Cepeda,Reñido (<5%),Alto
SANTA ROSA DEL SUR,BOLIVAR,13688.0,43.6,39.01,39.49,69.67,66.48,13.81,48.46,72.54,30439.0,43.25084937913929,56.74915062086071,49.14398098710383,50.85601901289617,1,-1.71,Cepeda,Reñido (<5%),Medio
SIMITI,BOLIVAR,13744.0,54.8,67.74,117.16,64.58,1.26,17.75,44.28,68.92,16742.0,47.40876267774429,52.59123732225571,53.43915932852112,46.56084067147888,1,6.88,Cepeda,Moderado (5-15%),Alto
SOPLAVIENTO,BOLIVAR,13760.0,39.4,1.62,9.0,88.75,1.26,27.33,82.35,56.2,17154.0,38.97485634862868,61.02514365137132,46.12253433709118,53.87746566290882,0,-7.75,Oposición,Moderado (5-15%),Medio
TALAIGUA NUEVO,BOLIVAR,13780.0,50.7,51.47,14.8,86.93,19.14,25.11,27.35,65.64,18064.0,45.29947253422026,54.70052746577974,51.872306046322144,48.127693953677856,1,3.74,Cepeda,Reñido (<5%),Alto
TIQUISIO (PTO. RICO),BOLIVAR,13810.0,73.0,65.35,20.49,37.59,1.23,43.92,68.67,58.23,16347.0,49.156057712239964,50.843942287760036,54.145834145359494,45.854165854640506,1,8.29,Cepeda,Moderado (5-15%),Muy alto
TURBACO,BOLIVAR,13836.0,30.4,9.37,16.33,76.08,23.66,15.89,34.6,79.22,151938.0,38.78123212257278,61.21876787742722,46.48342703954711,53.51657296045289,1,-7.03,Cepeda,Moderado (5-15%),Bajo
TURBANA,BOLIVAR,13838.0,42.8,26.83,5.6,57.96,42.65,53.98,29.87,66.75,19853.0,41.92008430100726,58.07991569899274,48.6954581789151,51.3045418210849,0,-2.61,Oposición,Reñido (<5%),Medio
VILLANUEVA,BOLIVAR,13873.0,54.1,13.27,23.19,53.87,1.37,39.07,43.37,52.55,38611.0,41.7723109796069,58.2276890203931,47.73775277078412,52.26224722921588,0,-4.52,Oposición,Reñido (<5%),Alto
ZAMBRANO,BOLIVAR,13894.0,62.4,12.79,7.92,81.44,1.72,39.29,65.93,63.71,14940.0,42.63141266951376,57.36858733048624,49.39279679121451,50.60720320878549,0,-1.21,Oposición,Reñido (<5%),Muy alto
TUNJA,BOYACA,15001.0,11.4,2.95,4.4,98.9,95.87,3.18,12.64,77.3,225827.0,36.04715486183852,63.95284513816148,43.48691051194855,56.51308948805145,0,-13.03,Oposición,Moderado (5-15%),Muy bajo
ALMEIDA,BOYACA,15022.0,37.5,73.51,0.0,63.86,17.32,0.32,9.23,61.8,1306.0,46.104939487105625,53.895060512894375,51.858511200327214,48.141488799672786,1,3.72,Cepeda,Reñido (<5%),Medio
AQUITANIA (PUEBLOVIEJO),BOYACA,15047.0,33.5,52.17,6.35,73.17,38.0,9.85,15.01,67.58,13109.0,43.48908490383548,56.51091509616452,49.87863977984473,50.12136022015527,1,-0.24,Cepeda,Reñido (<5%),Bajo
ARCABUCO,BOYACA,15051.0,24.8,49.65,0.0,84.65,45.11,4.75,12.19,66.85,7104.0,42.280003349150654,57.719996650849346,48.975402815003285,51.024597184996715,0,-2.05,Oposición,Reñido (<5%),Muy bajo
BELEN,BOYACA,15087.0,25.2,30.69,0.0,90.28,60.08,5.0,11.02,67.76,7318.0,40.38848071316308,59.61151928683692,47.13897059259355,52.86102940740645,0,-5.72,Oposición,Moderado (5-15%),Muy bajo
BERBEO,BOYACA,15090.0,40.5,63.3,62.38,85.64,25.82,3.31,19.45,56.38,1485.0,45.391011296253645,54.608988703746355,51.15995606198172,48.84004393801828,1,2.32,Cepeda,Reñido (<5%),Medio
BETEITIVA,BOYACA,15092.0,43.3,74.52,0.0,67.69,33.69,5.35,11.9,60.72,1209.0,46.84260557476833,53.15739442523167,52.27620728934735,47.72379271065265,1,4.55,Cepeda,Reñido (<5%),Medio
BOAVITA,BOYACA,15097.0,48.1,43.55,41.4,49.67,41.47,9.25,27.36,60.13,4856.0,44.20659790127206,55.79340209872794,49.21187987590512,50.78812012409488,1,-1.58,Cepeda,Reñido (<5%),Alto
BOYACA,BOYACA,15000.0,25.61,29.99,6.87,85.52,63.22,4.93,17.81,73.21,1326466.0,40.36188803720212,59.63811196279788,47.01533360312299,52.98466639687701,0,-5.97,Oposición,Moderado (5-15%),Muy bajo
BRICEÑO,BOYACA,15106.0,48.5,68.31,0.0,43.22,23.01,7.3,18.58,63.56,2026.0,46.7776658542403,53.2223341457597,51.91393592102261,48.08606407897739,1,3.83,Cepeda,Reñido (<5%),Alto
BUENAVISTA,BOYACA,15109.0,44.9,73.82,0.0,50.8,17.42,5.69,16.37,61.21,4026.0,46.94620983535004,53.05379016464996,52.25887372601887,47.74112627398113,1,4.52,Cepeda,Reñido (<5%),Alto
BUSBANZA,BOYACA,15114.0,31.3,44.98,86.13,91.67,48.11,11.71,9.88,62.94,1712.0,42.51448655293585,57.48551344706415,49.00588806139638,50.99411193860362,0,-1.99,Oposición,Reñido (<5%),Bajo
CALDAS,BOYACA,15131.0,43.7,84.56,31.57,67.44,16.28,10.64,15.79,63.69,1827.0,47.91117276219609,52.08882723780391,53.74461918239233,46.25538081760767,1,7.49,Cepeda,Moderado (5-15%),Medio
CAMPOHERMOSO,BOYACA,15135.0,52.3,65.06,32.44,43.76,33.93,8.76,24.83,78.73,2879.0,46.86168657330559,53.13831342669441,52.46372388700155,47.53627611299845,1,4.93,Cepeda,Reñido (<5%),Alto
CERINZA,BOYACA,15162.0,29.4,46.27,0.0,92.92,43.58,5.45,10.73,64.86,2790.0,42.43828205233961,57.56171794766039,49.106878519231145,50.893121480768855,0,-1.79,Oposición,Reñido (<5%),Bajo
CIENEGA,BOYACA,15189.0,40.5,64.16,0.0,87.26,25.27,4.81,11.57,61.27,3549.0,45.478793270327344,54.521206729672656,51.61176784333261,48.38823215666739,0,3.22,Oposición,Reñido (<5%),Medio
COMBITA,BOYACA,15204.0,36.1,82.78,29.72,87.73,15.58,7.58,10.82,75.72,12040.0,46.897974643448975,53.102025356551025,53.941328856783684,46.058671143216316,1,7.88,Cepeda,Moderado (5-15%),Bajo
COPER,BOYACA,15212.0,38.8,66.65,27.63,35.36,24.16,8.22,15.6,61.74,2621.0,45.54695708325717,54.45304291674283,50.769231527423344,49.230768472576656,1,1.54,Cepeda,Reñido (<5%),Medio
CORRALES,BOYACA,15215.0,26.6,30.29,38.77,93.41,66.06,9.73,20.39,57.23,2476.0,40.50082475453331,59.49917524546669,46.733843119013,53.266156880987,0,-6.53,Oposición,Moderado (5-15%),Muy bajo
COVARACHIA,BOYACA,15218.0,55.6,73.79,73.5,54.52,18.45,8.46,30.71,59.16,2541.0,48.11382601044406,51.88617398955594,52.99857147466732,47.00142852533268,1,6.0,Cepeda,Moderado (5-15%),Muy alto
CUBARA,BOYACA,15223.0,69.7,71.97,36.71,43.83,26.49,17.35,72.36,71.19,16562.0,49.4707244402541,50.5292755597459,54.30288606760911,45.69711393239089,1,8.61,Cepeda,Moderado (5-15%),Muy alto
CUCAITA,BOYACA,15224.0,25.9,50.56,26.06,95.15,46.85,11.13,10.68,65.57,3550.0,42.49323903577736,57.50676096422264,49.38669034285408,50.61330965714592,0,-1.23,Oposición,Reñido (<5%),Muy bajo
CUITIVA,BOYACA,15226.0,40.7,77.76,54.85,84.01,19.39,2.79,10.82,63.01,1614.0,46.88885516352065,53.11114483647935,52.93892621106038,47.06107378893962,1,5.88,Cepeda,Moderado (5-15%),Medio
CHINAVITA,BOYACA,15172.0,41.1,52.41,0.0,75.9,39.11,6.87,17.4,62.82,2362.0,44.34509204575295,55.65490795424705,50.21719996604135,49.78280003395865,0,0.43,Oposición,Reñido (<5%),Medio
CHIQUINQUIRA,BOYACA,15176.0,17.3,8.68,8.51,96.75,88.89,4.36,12.5,75.09,60133.0,37.277542005314984,62.722457994685016,44.474683878336876,55.525316121663124,0,-11.05,Oposición,Moderado (5-15%),Muy bajo
CHIQUIZA,BOYACA,15232.0,51.3,86.12,0.0,75.14,8.83,16.62,17.33,61.67,4186.0,48.90191502711039,51.09808497288961,54.78444458735246,45.21555541264754,1,9.57,Cepeda,Moderado (5-15%),Alto
CHISCAS,BOYACA,15180.0,60.1,69.11,0.0,72.64,33.55,12.03,33.55,59.14,3661.0,48.128470112856505,51.871529887143495,53.163229140310094,46.836770859689906,1,6.33,Cepeda,Moderado (5-15%),Muy alto
CHITA,BOYACA,15183.0,69.1,65.89,25.32,49.18,23.04,22.96,48.42,63.47,7423.0,48.784480783742445,51.215519216257555,53.62504244051667,46.37495755948333,1,7.25,Cepeda,Moderado (5-15%),Muy alto
CHITARAQUE,BOYACA,15185.0,46.4,71.2,33.65,42.03,22.67,5.59,27.49,70.49,5340.0,46.842894816171885,53.157105183828115,52.271178087088366,47.728821912911634,1,4.54,Cepeda,Reñido (<5%),Alto
CHIVATA,BOYACA,15187.0,42.3,75.17,0.0,91.92,17.37,13.4,21.96,65.22,2525.0,46.79954322526599,53.20045677473401,53.37355046222633,46.62644953777367,1,6.75,Cepeda,Moderado (5-15%),Medio
CHIVOR,BOYACA,15236.0,45.8,64.5,39.59,68.05,38.0,9.58,20.7,60.26,2893.0,46.09336648067687,53.90663351932313,51.47842466916178,48.52157533083822,1,2.96,Cepeda,Reñido (<5%),Alto
DUITAMA,BOYACA,15238.0,10.5,8.16,9.35,98.67,91.68,2.9,6.91,75.36,164223.0,36.480482038089725,63.519517961910275,43.88532592737984,56.11467407262016,0,-12.23,Oposición,Moderado (5-15%),Muy bajo
EL COCUY,BOYACA,15244.0,49.4,38.05,24.3,84.1,55.44,24.36,36.84,68.01,4074.0,43.7874335029355,56.2125664970645,49.98102144435117,50.01897855564883,0,-0.04,Oposición,Reñido (<5%),Alto
EL ESPINO,BOYACA,15248.0,31.3,46.07,32.74,90.91,48.52,7.9,17.46,63.22,2924.0,42.62574510147112,57.37425489852888,49.05567082665122,50.94432917334878,0,-1.89,Oposición,Reñido (<5%),Bajo
FIRAVITOBA,BOYACA,15272.0,21.7,53.84,14.5,91.64,47.13,2.45,9.12,68.87,7196.0,42.368516802449555,57.631483197550445,49.29078454427996,50.70921545572004,0,-1.42,Oposición,Reñido (<5%),Muy bajo
FLORESTA,BOYACA,15276.0,43.9,53.96,30.54,86.25,44.04,11.42,18.08,61.92,3069.0,44.80964947625293,55.19035052374707,50.73734227543466,49.26265772456534,0,1.47,Oposición,Reñido (<5%),Medio
GACHANTIVA,BOYACA,15293.0,51.2,71.35,0.0,63.62,22.04,5.41,11.79,61.89,2192.0,47.3833697393889,52.6166302606111,52.713457305575005,47.286542694424995,1,5.43,Cepeda,Moderado (5-15%),Alto
GAMEZA,BOYACA,15296.0,43.7,64.22,20.61,89.27,30.4,7.57,17.5,63.28,3499.0,45.8350270032903,54.1649729967097,51.95364230653671,48.04635769346329,1,3.91,Cepeda,Reñido (<5%),Medio
GARAGOA,BOYACA,15299.0,20.3,23.12,0.0,84.28,76.23,4.72,16.26,73.86,21567.0,39.07969016436604,60.92030983563396,45.97101548331546,54.02898451668454,0,-8.06,Oposición,Moderado (5-15%),Muy bajo
GUACAMAYAS,BOYACA,15317.0,30.4,57.5,0.0,80.78,33.6,14.48,9.4,63.85,1414.0,43.69396050881347,56.30603949118653,50.307959439528005,49.692040560471995,0,0.62,Oposición,Reñido (<5%),Bajo
GUATEQUE,BOYACA,15322.0,19.4,22.38,18.21,90.1,78.36,6.14,9.42,69.04,12163.0,38.90568856650272,61.09431143349728,45.71045193304083,54.28954806695917,0,-8.58,Oposición,Moderado (5-15%),Muy bajo
GUAYATA,BOYACA,15325.0,36.1,57.52,29.49,80.85,44.78,4.48,12.43,63.28,3171.0,44.319634335191346,55.680365664808654,50.29534297955735,49.70465702044265,0,0.59,Oposición,Reñido (<5%),Bajo
GUICAN,BOYACA,15332.0,48.1,59.88,23.09,62.55,35.01,3.6,40.92,62.89,3976.0,45.873434688043524,54.126565311956476,51.13232405767056,48.86767594232944,1,2.26,Cepeda,Reñido (<5%),Alto
IZA,BOYACA,15362.0,24.8,31.22,0.0,91.11,61.9,5.78,11.08,64.88,1691.0,40.39881523033877,59.60118476966123,47.028421822582054,52.971578177417946,0,-5.94,Oposición,Moderado (5-15%),Muy bajo
JENESANO,BOYACA,15367.0,38.8,67.23,27.26,80.87,26.64,5.11,14.27,78.93,6644.0,45.60615887972548,54.39384112027452,52.45877717567767,47.54122282432233,1,4.92,Cepeda,Reñido (<5%),Medio
JERICO,BOYACA,15368.0,64.7,58.98,50.75,55.73,28.08,14.07,43.97,62.27,3662.0,47.59776239162983,52.40223760837017,52.42534481547394,47.57465518452606,1,4.85,Cepeda,Reñido (<5%),Muy alto
LABRANZAGRANDE,BOYACA,15377.0,57.4,62.33,0.0,56.8,32.76,11.17,50.12,65.85,3746.0,47.1410167125502,52.8589832874498,52.29668285016797,47.70331714983203,1,4.59,Cepeda,Reñido (<5%),Muy alto
LA CAPILLA,BOYACA,15380.0,31.6,52.64,0.0,79.03,38.13,3.26,9.75,63.65,1934.0,43.3291813116806,56.6708186883194,49.5761094742003,50.4238905257997,0,-0.85,Oposición,Reñido (<5%),Bajo
LA UVITA,BOYACA,15403.0,41.9,46.4,36.14,79.7,42.23,7.01,16.52,62.07,2086.0,43.81916630016343,56.18083369983657,49.67108934632323,50.32891065367677,0,-0.66,Oposición,Reñido (<5%),Medio
LA VICTORIA,BOYACA,15401.0,38.4,53.0,0.0,68.24,42.78,0.3,25.48,57.58,1051.0,44.10990974884564,55.89009025115436,49.45945445040756,50.54054554959244,0,-1.08,Oposición,Reñido (<5%),Medio
VILLA DE LEIVA,BOYACA,15407.0,15.2,41.82,5.81,95.36,60.38,6.98,9.54,81.07,27579.0,40.4304508692574,59.5695491307426,48.227573333762194,51.772426666237806,0,-3.54,Oposición,Reñido (<5%),Muy bajo
MACANAL,BOYACA,15425.0,28.9,68.05,0.0,76.48,31.44,0.81,10.73,69.53,5267.0,44.6067069866014,55.3932930133986,51.11913511943681,48.88086488056319,1,2.24,Cepeda,Reñido (<5%),Bajo
MARIPI,BOYACA,15442.0,67.0,78.59,0.0,18.47,16.42,13.69,34.71,66.79,5184.0,49.851036682491426,50.148963317508574,54.155123664145876,45.844876335854124,1,8.31,Cepeda,Moderado (5-15%),Muy alto
MIRAFLORES,BOYACA,15455.0,21.1,31.22,0.0,86.42,60.9,5.11,11.51,82.11,8689.0,39.9940012259624,60.0059987740376,47.48598267503211,52.51401732496789,0,-5.03,Oposición,Moderado (5-15%),Muy bajo
MONGUA,BOYACA,15464.0,50.7,47.98,0.0,83.89,46.93,12.2,28.08,63.03,3620.0,44.94324103478165,55.05675896521835,50.67075919838986,49.32924080161014,0,1.34,Oposición,Reñido (<5%),Alto
MONGUI,BOYACA,15466.0,28.8,38.42,0.0,92.48,73.51,8.17,16.84,63.34,4123.0,41.571370844536744,58.428629155463256,47.83955507754477,52.16044492245523,0,-4.32,Oposición,Reñido (<5%),Bajo
MONIQUIRA,BOYACA,15469.0,27.1,39.4,0.0,79.2,52.97,4.71,15.39,75.91,24071.0,41.48540584252323,58.51459415747677,48.37346058708945,51.62653941291055,0,-3.25,Oposición,Reñido (<5%),Muy bajo
MOTAVITA,BOYACA,15476.0,49.8,77.91,17.3,62.53,15.1,4.06,16.67,68.94,3640.0,47.89978960533723,52.10021039466277,53.605018726915326,46.394981273084674,1,7.21,Cepeda,Moderado (5-15%),Alto
MUZO,BOYACA,15480.0,40.7,27.41,11.76,58.06,50.73,18.13,31.06,66.44,6402.0,41.74952679769438,58.25047320230562,47.67081930305891,52.32918069694109,0,-4.66,Oposición,Reñido (<5%),Medio
NOBSA,BOYACA,15491.0,10.5,58.98,6.08,98.75,91.5,3.85,4.11,88.53,16994.0,41.6677842734679,58.3322157265321,49.41385344758674,50.58614655241326,0,-1.17,Oposición,Reñido (<5%),Muy bajo
NUEVO COLON,BOYACA,15494.0,46.2,71.56,0.0,80.37,18.75,9.87,16.26,70.59,4676.0,46.857758920732984,53.142241079267016,53.255689104018835,46.744310895981165,1,6.51,Cepeda,Moderado (5-15%),Alto
OICATA,BOYACA,15500.0,22.8,77.2,0.0,94.04,14.74,0.25,6.93,64.5,2653.0,44.873270300651235,55.126729699348765,51.885876445075915,48.114123554924085,1,3.77,Cepeda,Reñido (<5%),Muy bajo
OTANCHE,BOYACA,15507.0,44.7,46.2,12.33,44.76,42.12,10.24,43.1,85.29,7658.0,44.10509762062973,55.89490237937027,50.34243742781984,49.65756257218016,1,0.68,Cepeda,Reñido (<5%),Alto
PACHAVITA,BOYACA,15511.0,37.5,70.71,0.0,79.45,19.52,5.47,9.17,68.35,1516.0,45.819137711051724,54.180862288948276,52.29907810282823,47.70092189717177,1,4.6,Cepeda,Reñido (<5%),Medio
PAEZ,BOYACA,15514.0,36.5,48.11,0.0,50.47,46.62,6.42,18.4,82.33,3097.0,43.40289989967331,56.59710010032669,49.770754633693585,50.229245366306415,1,-0.46,Cepeda,Reñido (<5%),Medio
PAIPA,BOYACA,15516.0,16.2,31.04,2.84,94.7,67.3,2.94,8.45,78.69,48196.0,39.439523221821894,60.560476778178106,46.95646198174987,53.04353801825013,0,-6.09,Oposición,Moderado (5-15%),Muy bajo
PAJARITO,BOYACA,15518.0,27.8,55.92,0.0,74.05,53.57,9.54,12.77,60.35,1436.0,43.2482227545016,56.7517772454984,49.25110755350639,50.74889244649361,0,-1.5,Oposición,Reñido (<5%),Bajo
PANQUEBA,BOYACA,15522.0,42.7,41.85,0.0,71.53,53.97,6.27,22.72,61.71,1479.0,43.442265766373446,56.557734233626554,48.94968741161381,51.05031258838619,0,-2.1,Oposición,Reñido (<5%),Medio
PAUNA,BOYACA,15531.0,47.4,61.37,13.68,41.61,24.97,9.86,32.89,66.52,6669.0,45.94893562846895,54.05106437153105,51.280148723236735,48.719851276763265,1,2.56,Cepeda,Reñido (<5%),Alto
PAYA,BOYACA,15533.0,68.2,71.29,0.0,36.19,21.27,18.74,70.52,61.16,2762.0,49.23720165194017,50.76279834805983,53.63393828424812,46.36606171575188,1,7.27,Cepeda,Moderado (5-15%),Muy alto
PAZ DE RIO,BOYACA,15537.0,21.6,27.42,0.0,91.66,63.34,4.4,11.62,66.84,4242.0,39.66083198221811,60.33916801778189,46.48012053164399,53.51987946835601,0,-7.04,Oposición,Moderado (5-15%),Muy bajo
PESCA,BOYACA,15542.0,39.3,57.81,14.75,85.35,34.98,7.31,15.76,66.99,6421.0,44.69934464261587,55.30065535738413,51.04689433647695,48.95310566352305,1,2.09,Cepeda,Reñido (<5%),Medio
PISBA,BOYACA,15550.0,57.9,56.0,0.0,43.57,32.13,18.82,41.67,58.2,2232.0,46.54960514972864,53.45039485027136,51.28404488963769,48.71595511036231,1,2.57,Cepeda,Reñido (<5%),Muy alto
